producto,sigma_choque,dias,media,desv,cv,min,max,pct_ceros,vol_log_diaria,vol_log_anual,ratio_findesemana,total
Sonqo Brown Ale — Growler 1L,0.27165237375487195,730,26.00958904109589,15.277117496739855,0.587364816591357,0.0,111.0,4.2465753424657535,0.5775653382785328,9.168565505855353,1.783744786109225,18987.0
Tinkuy Saison — Barril 20L,0.2788440142831518,730,74.82191780821918,42.86488567253239,0.5728921007130838,0.0,463.0,2.6027397260273974,0.5425503911568758,8.612720452331464,1.7604085843821955,54620.0
Ch'aska Cream Ale — Edición Limitada,0.3239470579113102,730,22.375342465753423,13.533578542661525,0.604843414726516,0.0,111.0,3.5616438356164384,0.6737001693809105,10.694658638423885,1.8344728945932753,16334.0
Qorikancha Pale Ale — Botella 620ml,0.2915918069966084,730,41.45342465753425,25.89813862350211,0.6247526914231697,0.0,229.0,3.0136986301369864,0.6018531845061224,9.554123111852833,1.8060750062752438,30261.0
Wayra Brown Ale — Lata 355ml,0.30421705362041673,730,21.454794520547946,13.185453183061616,0.6145690731474256,0.0,80.0,5.068493150684931,0.6893046564271293,10.942372190790028,1.8539291454493565,15662.0
Apu Dorado Saison — Growler 1L,0.3088586302223881,730,32.394520547945206,17.95269194460254,0.5541891542439046,0.0,123.0,1.9178082191780823,0.6061198014449436,9.621853556011013,1.823997300424219,23648.0
Tawantinsuyo Cream Ale — Barril 20L,0.31841594188149935,730,30.568493150684933,21.138391851277905,0.6915091217312512,0.0,303.0,2.8767123287671232,0.6728586501534344,10.6812999348276,1.8023514254329684,22315.0
Amaru Pale Ale — Edición Limitada,0.3746641995193997,730,16.18904109589041,11.592859890914145,0.7160930546934614,0.0,106.0,4.52054794520548,0.7558118423847677,11.998141037445858,1.8113814960708645,11818.0
Raymi Brown Ale — Botella 620ml,0.3327095327092114,730,28.528767123287672,19.279483590623244,0.6757909834416099,0.0,194.0,3.5616438356164384,0.7042483806445146,11.179596458432036,1.8890507108023555,20826.0
Chaska Saison — Lata 355ml,0.3506808797944206,730,16.568493150684933,11.668543085124428,0.7042609716528179,0.0,172.0,5.205479452054795,0.7316247318696032,11.614182561307693,1.8033722475871234,12095.0
Wiraqocha Cream Ale — Growler 1L,0.35928743180368644,730,18.85753424657534,18.371030782246592,0.9742011093302348,0.0,308.0,4.931506849315069,0.7802327402789092,12.385810773170654,1.65861314506266,13766.0
Puma Dorado Pale Ale — Barril 20L,0.25455360661055554,730,95.17671232876712,50.656027837904006,0.532231326324068,0.0,312.0,2.4657534246575343,0.5182050239125032,8.226249728500578,1.7600513216819247,69479.0
Inkari Brown Ale — Edición Limitada,0.30320421456438007,730,26.268493150684932,15.700858337171434,0.5977068515923627,0.0,107.0,3.6986301369863015,0.6709089377707596,10.650349210271633,1.8256918478721216,19176.0
Sumaq Saison — Botella 620ml,0.2740585191198392,730,36.053424657534244,21.07907215207227,0.5846621327182933,0.0,198.0,3.0136986301369864,0.5885067115229106,9.342254421492308,1.7715880544005544,26319.0
Ayni Cream Ale — Lata 355ml,0.2854430860422991,730,31.373972602739727,19.800128181384316,0.6311004485181221,0.0,158.0,3.0136986301369864,0.6548769442884863,10.395849203623413,1.7490036062310943,22903.0
Kuntur Pale Ale — Growler 1L,0.28830592915662073,730,20.442465753424656,13.108090336743352,0.641218652135807,0.0,142.0,3.6986301369863015,0.6484240644989814,10.293412912644063,1.726503915699081,14923.0
Wari Brown Ale — Barril 20L,0.3142681068324753,730,54.73698630136986,52.11898270343454,0.9521712141124985,0.0,1012.0,2.4657534246575343,0.6232223299452838,9.893347779224781,1.9217565031803985,39958.0
Yawar Saison — Edición Limitada,0.349120408415633,730,41.035616438356165,25.69561217200276,0.6261782910122184,0.0,244.0,2.73972602739726,0.6798775815969388,10.792722017241145,1.9169392504517295,29956.0
Chullpa Cream Ale — Botella 620ml,0.3257486408716859,730,31.834246575342465,21.39225771595359,0.6719888176189217,0.0,154.0,5.068493150684931,0.6415994745703789,10.185075906137595,1.7373344435165943,23239.0
Munay Pale Ale — Lata 355ml,0.3355408261583665,730,27.176712328767124,17.1964556761373,0.6327643854821428,0.0,156.0,4.10958904109589,0.6691503386490051,10.62243231467952,1.6844106410629858,19839.0
Sonqo Brown Ale — Growler 1L,0.33598982192833937,730,35.63835616438356,22.10790864589106,0.6203403025638252,0.0,174.0,2.4657534246575343,0.6600961292672225,10.478701196624494,1.924845894690077,26016.0
Tinkuy Saison — Barril 20L,0.3509226712872674,730,26.223287671232878,18.599845488737706,0.7092873220905044,0.0,227.0,3.8356164383561646,0.7316425508378949,11.614465428660012,2.0109580443110056,19143.0
Ch'aska Cream Ale — Edición Limitada,0.3978413776202646,730,26.594520547945205,26.52597533052987,0.9974225811933041,0.0,548.0,3.9726027397260277,0.7399317232152318,11.746051960769888,1.745866968601868,19414.0
Qorikancha Pale Ale — Botella 620ml,0.25791264224780247,730,47.608219178082194,31.620306261349683,0.6641774636239071,0.0,425.0,4.10958904109589,0.5514444538225869,8.753909320082439,1.6898318504241057,34754.0
Wayra Brown Ale — Lata 355ml,0.2592734881900052,730,49.602739726027394,33.05099411019257,0.6663138829174421,0.0,344.0,4.657534246575342,0.5732495672807981,9.100054765202286,1.7846974974820862,36210.0
